Coins_date,id,Price,Market Cap,Total volume
2018-07-26 00:00:00.000,binancecoin,12.78,1252610236.380608,79858448.62880959
2018-07-27 00:00:00.000,binancecoin,13.26,1300183482.5427759,74122593.0403259
2018-07-28 00:00:00.000,binancecoin,13.6,1333273550.9535015,76658494.51151347
2018-07-29 00:00:00.000,binancecoin,14.34,1405648474.0762308,87767922.39809327
2018-07-30 00:00:00.000,binancecoin,13.96,1368299938.626759,61644332.52631792
2018-07-31 00:00:00.000,binancecoin,13.21,1295448185.6684406,36421565.29064192
2018-08-01 00:00:00.000,binancecoin,13.74,1347243331.1910322,72356815.21839547
2018-08-02 00:00:00.000,binancecoin,13.59,1331900269.2600942,54237393.0875071
2018-08-03 00:00:00.000,binancecoin,14.17,1389400539.0343423,53876934.1165838
2018-08-04 00:00:00.000,binancecoin,14.09,1381330641.4354756,68449024.48474343
2018-08-05 00:00:00.000,binancecoin,13.84,1356891850.637866,61509915.39783665
2018-08-06 00:00:00.000,binancecoin,13.65,1337921085.755962,43738797.29493265
2018-08-07 00:00:00.000,binancecoin,13.68,1341686869.2107894,48481735.55344943
2018-08-08 00:00:00.000,binancecoin,13.09,1283100271.164136,40384597.29411334
2018-08-09 00:00:00.000,binancecoin,12.11,1187632193.434036,51791453.27336321
2018-08-10 00:00:00.000,binancecoin,12.8,1254769536.2944932,41797871.87967074
2018-08-11 00:00:00.000,binancecoin,12.11,1187631953.4756327,36171939.486670256
2018-08-12 00:00:00.000,binancecoin,11.62,1139057974.7301908,27714638.267555878
2018-08-13 00:00:00.000,binancecoin,11.69,1146580999.5384166,24651529.86560611
2018-08-14 00:00:00.000,binancecoin,10.18,997924239.2948986,31812864.010185752
2018-08-15 00:00:00.000,binancecoin,9.45,926411943.9548185,36224247.49898638
2018-08-16 00:00:00.000,binancecoin,9.42,921186428.8367226,41585566.50176836
2018-08-17 00:00:00.000,binancecoin,9.73,953850715.212723,22594540.30975015
2018-08-18 00:00:00.000,binancecoin,10.75,1053876485.8238465,33555593.86488575
2018-08-19 00:00:00.000,binancecoin,9.86,966874895.0092155,25656187.347661328
2018-08-20 00:00:00.000,binancecoin,10.12,992587084.7509444,22197746.023062646
2018-08-21 00:00:00.000,binancecoin,9.63,943693188.2055234,16787875.720658563
2018-08-22 00:00:00.000,binancecoin,9.71,953355873.4485636,12817648.59682315
2018-08-23 00:00:00.000,binancecoin,9.45,925703864.3921478,23840137.30344975
2018-08-24 00:00:00.000,binancecoin,9.69,949767300.8707712,18542332.993283954
2018-08-25 00:00:00.000,binancecoin,10.19,999310962.5629733,23226435.655562166
2018-08-26 00:00:00.000,binancecoin,10.12,991833847.4279206,19246894.430856183
2018-08-27 00:00:00.000,binancecoin,10.22,1002050441.7720734,21736940.26337487
2018-08-28 00:00:00.000,binancecoin,11.22,1098483033.6596274,44089488.690934196
2018-08-29 00:00:00.000,binancecoin,11.47,1125039165.843925,41283575.48001553
2018-08-30 00:00:00.000,binancecoin,11.16,1094104885.3614154,31013818.550187394
2018-08-31 00:00:00.000,binancecoin,10.75,1054126747.2592542,21800283.91221422
2018-09-01 00:00:00.000,binancecoin,11.0,1078009887.4470913,24038876.9935062
2018-09-02 00:00:00.000,binancecoin,11.41,1119133728.7589676,29377789.487293564
2018-09-03 00:00:00.000,binancecoin,11.28,1103821007.667432,21092376.2948701
2018-09-04 00:00:00.000,binancecoin,11.26,1104480872.4186785,20047824.684722994
2018-09-05 00:00:00.000,binancecoin,11.35,1113127809.777241,20353155.74760469
2018-09-06 00:00:00.000,binancecoin,10.12,989951404.5685347,27847012.56149943
2018-09-07 00:00:00.000,binancecoin,10.26,1006803552.134676,25161525.593694594
2018-09-08 00:00:00.000,binancecoin,9.97,977698540.9033676,18533999.781575136
2018-09-09 00:00:00.000,binancecoin,9.47,928309173.0905268,19639636.15074677
